datum;locatie;eenheid;parameterid;afronding;analyse;compartiment;veldapparaat;grootheid;confertaxon;biotaxonnaam;parameter;eenheidequivalent;eenheidreferentie;parameterfractie;gedrag;lengteklasse;levensstadium;levensvorm;verschijningsvorm;geslacht;waardebewerkingsmethode;analyseprotocol;bemonsteringsprotocol;analist;monsterident;bemonsteringssoort;planvanaanpak;externereferentie;xcoormonster;ycoormonster;monsternemer;bron;kwaliteitsoordeel;opmerkingmeting;meetwaarde;limietsymbool
2020-01-23 12:20:00;PMW067;m;ZICHT_m;Ja;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP577036;SB;;577036;135291;462256;WP;FC20200130210340_577036.txt;0;;1;
2020-01-23 12:20:00;PMW067;m;ZICHT_m;Nee;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP577036;SB;;577036;135291;462256;WP;FC20200130210340_577036.txt;0;;1;
2020-01-23 12:20:00;PMW067;DIMSLS;pH;Ja;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP577036;SB;;577036;135291;462256;WP;FC20200130210340_577036.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.4;
2020-01-23 12:20:00;PMW067;DIMSLS;pH;Nee;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP577036;SB;;577036;135291;462256;WP;FC20200130210340_577036.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.4;
2020-02-24 11:40:00;PMW024;mg/l;ZS_mg/l;Ja;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP579138;SB;;579138;135010;462569;WP;FC20200716102117_579138.txt;0;;9;
2020-02-24 11:40:00;PMW024;mg/l;ZS_mg/l;Nee;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP579138;SB;;579138;135010;462569;WP;FC20200716102117_579138.txt;0;;9.29;
2020-02-24 11:40:00;PMW024;oC;T_oC;Ja;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP579138;SB;;579138;135010;462569;WP;FC20200716102117_579138.txt;0;;6.8;
2020-02-24 11:40:00;PMW024;oC;T_oC;Nee;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP579138;SB;;579138;135010;462569;WP;FC20200716102117_579138.txt;0;;6.8;
2020-02-24 11:40:00;PMW024;m;ZICHT_m;Ja;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP579138;SB;;579138;135010;462569;WP;FC20200716102117_579138.txt;0;;0.7;
2020-02-24 11:40:00;PMW024;m;ZICHT_m;Nee;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP579138;SB;;579138;135010;462569;WP;FC20200716102117_579138.txt;0;;0.7;
2020-02-24 11:40:00;PMW024;DIMSLS;pH;Ja;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP579138;SB;;579138;135010;462569;WP;FC20200716102117_579138.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.8;
2020-02-24 11:40:00;PMW024;DIMSLS;pH;Nee;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP579138;SB;;579138;135010;462569;WP;FC20200716102117_579138.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.8;
2020-02-24 11:40:00;PMW024;ug/l;FEOa_ug/l;Ja;FPA;OW;;CONCTTE;;;FEOa;;;;;;;;;;MET;A3020;;WP;WP579138;SB;;579138;135010;462569;WP;FC20200716102117_579138.txt;0;;8;
2020-02-24 11:40:00;PMW024;ug/l;FEOa_ug/l;Nee;FPA;OW;;CONCTTE;;;FEOa;;;;;;;;;;MET;A3020;;WP;WP579138;SB;;579138;135010;462569;WP;FC20200716102117_579138.txt;0;;7.99;
2020-02-24 11:40:00;PMW024;ug/l;CHLFa_ug/l_spectro;Ja;FPA;OW;;CONCTTE;;;CHLFa;;;;;;;;;;MET;A3020;;WP;WP579138;SB;;579138;135010;462569;WP;FC20200716102117_579138.txt;0;;25;
2020-02-24 11:40:00;PMW024;ug/l;CHLFa_ug/l_spectro;Nee;FPA;OW;;CONCTTE;;;CHLFa;;;;;;;;;;MET;A3020;;WP;WP579138;SB;;579138;135010;462569;WP;FC20200716102117_579138.txt;0;;25.16;
2020-02-24 12:00:00;PMW077;mg/l;ZS_mg/l;Ja;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP579139;SB;;579139;135186;462296;WP;FC20200302210153_579139.txt;0;;2;
2020-02-24 12:00:00;PMW077;mg/l;ZS_mg/l;Nee;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP579139;SB;;579139;135186;462296;WP;FC20200302210153_579139.txt;0;;2.439;
2020-02-24 12:00:00;PMW077;oC;T_oC;Ja;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP579139;SB;;579139;135186;462296;WP;FC20200302210153_579139.txt;0;;6.9;
2020-02-24 12:00:00;PMW077;oC;T_oC;Nee;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP579139;SB;;579139;135186;462296;WP;FC20200302210153_579139.txt;0;;6.9;
2020-02-24 12:00:00;PMW077;m;ZICHT_m;Ja;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP579139;SB;;579139;135186;462296;WP;FC20200302210153_579139.txt;0;;0.6;
2020-02-24 12:00:00;PMW077;m;ZICHT_m;Nee;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP579139;SB;;579139;135186;462296;WP;FC20200302210153_579139.txt;0;;0.6;
2020-02-24 12:00:00;PMW077;DIMSLS;pH;Ja;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP579139;SB;;579139;135186;462296;WP;FC20200302210153_579139.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.4;
2020-02-24 12:00:00;PMW077;DIMSLS;pH;Nee;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP579139;SB;;579139;135186;462296;WP;FC20200302210153_579139.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.4;
2020-02-24 12:10:00;PMW067;mg/l;ZS_mg/l;Ja;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP579140;SB;;579140;135291;462256;WP;FC20200302210155_579140.txt;0;;7;
2020-02-24 12:10:00;PMW067;mg/l;ZS_mg/l;Nee;;OW;;CONCTTE;;;ZS;;;;;;;;;;MET;A2540;;WP;WP579140;SB;;579140;135291;462256;WP;FC20200302210155_579140.txt;0;;6.89;
2020-02-24 12:10:00;PMW067;oC;T_oC;Ja;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP579140;SB;;579140;135291;462256;WP;FC20200302210155_579140.txt;0;;7;
2020-02-24 12:10:00;PMW067;oC;T_oC;Nee;;OW;;T;;;T;;;;;;;;;;MET;V1070;;WP;WP579140;SB;;579140;135291;462256;WP;FC20200302210155_579140.txt;0;;7;
2020-02-24 12:10:00;PMW067;m;ZICHT_m;Ja;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP579140;SB;;579140;135291;462256;WP;FC20200302210155_579140.txt;0;;0.8;
2020-02-24 12:10:00;PMW067;m;ZICHT_m;Nee;AKG;OW;;ZICHT;;;ZICHT;;;;;;;;;;MET;V1090;;WP;WP579140;SB;;579140;135291;462256;WP;FC20200302210155_579140.txt;0;;0.8;
2020-02-24 12:10:00;PMW067;DIMSLS;pH;Ja;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP579140;SB;;579140;135291;462256;WP;FC20200302210155_579140.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.4;
2020-02-24 12:10:00;PMW067;DIMSLS;pH;Nee;;OW;;pH;;;pH;;;;;;;;;;MET;V1060;;WP;WP579140;SB;;579140;135291;462256;WP;FC20200302210155_579140.txt;0;Resultaat mogelijk gestoord door het zoutgehalte. Resultaat indicatief.;7.4;
